IPORIGEN,IPDESTINO,DNS/FLAGS
192.168.100.65,216.239.34.10,www.google.cl
216.239.34.10,192.168.100.65,www.google.cl
202.12.27.33,192.168.100.65,www.google.cl
192.168.100.65,216.239.38.10,www.google.cl
216.239.38.10,192.168.100.65,www.google.cl
192.168.100.65,173.245.59.104,privacyportal.onetrust.com
192.168.100.65,108.162.192.221,privacyportal.onetrust.com
173.245.59.104,192.168.100.65,privacyportal.onetrust.com
108.162.192.221,192.168.100.65,privacyportal.onetrust.com
192.168.100.65,34.195.42.24,0x0011
192.168.100.65,64.233.190.103,0x0011
192.168.100.65,172.217.192.94,0x0011
192.168.100.65,104.18.42.137,0x0011
192.168.100.65,172.65.251.78,0x0011
192.168.100.65,172.217.192.95,0x0011
192.168.100.65,157.240.204.35,0x0011
192.168.100.65,172.217.192.94,0x0011
192.168.100.65,104.16.80.73,0x0011
192.168.100.65,54.160.93.182,0x0011
192.168.100.65,3.211.157.115,0x0011
192.168.100.65,104.18.40.188,0x0011
192.168.100.65,104.16.80.73,0x0011
192.168.100.65,172.65.251.78,0x0011
192.168.100.65,64.233.190.94,0x0011
192.168.100.65,54.160.93.182,0x0011
192.168.100.65,64.233.190.105,0x0011
192.168.100.65,142.251.0.138,0x0011
192.168.100.65,108.177.123.157,0x0011
192.168.100.65,142.250.0.94,0x0011
192.168.100.65,142.251.0.207,0x0011
192.168.100.65,172.217.192.95,0x0011
192.168.100.65,34.120.22.49,0x0011
192.168.100.65,104.18.32.137,0x0011
192.168.100.65,142.250.0.95,0x0011
192.168.100.65,64.233.186.155,0x0011
192.168.100.65,172.64.155.119,0x0011
192.168.100.65,64.233.190.94,0x0011
192.168.100.65,104.18.4.159,0x0011
192.168.100.65,64.233.186.97,0x0011
192.168.100.65,23.14.87.57,0x0011
172.217.192.94,192.168.100.65,0x0011
64.233.190.103,192.168.100.65,0x0011
192.168.100.65,23.51.159.115,0x0011
192.168.100.65,23.51.159.115,0x0011
192.168.100.65,45.57.91.1,0x0011
192.168.100.65,45.57.91.1,0x0011
192.168.100.65,45.57.91.1,0x0011
192.168.100.65,45.57.91.1,0x0011
192.168.100.65,45.57.91.1,0x0011
192.168.100.65,23.51.159.115,0x0011
192.168.100.65,23.51.159.115,0x0011
192.168.100.65,23.51.159.115,0x0011
192.168.100.65,23.51.159.115,0x0011
192.168.100.65,23.51.159.115,0x0011
192.168.100.65,142.251.0.119,0x0011
192.168.100.65,3.230.56.88,0x0011
192.168.100.65,3.230.56.88,0x0011
192.168.100.65,34.195.42.24,0x0011
192.168.100.65,34.195.42.24,0x0011
192.168.100.65,152.231.111.106,0x0011
192.168.100.65,152.231.111.106,0x0011
192.168.100.65,152.231.111.106,0x0011
192.168.100.65,152.231.111.106,0x0011
192.168.100.65,152.231.111.106,0x0011
192.168.100.65,152.231.111.106,0x0011
23.14.87.57,192.168.100.65,0x0011
142.250.0.94,192.168.100.65,0x0011
157.240.204.35,192.168.100.65,0x0011
23.51.159.115,192.168.100.65,0x0011
23.51.159.115,192.168.100.65,0x0011
142.251.0.119,192.168.100.65,0x0011
64.233.190.105,192.168.100.65,0x0011
172.64.155.119,192.168.100.65,0x0011
64.233.186.155,192.168.100.65,0x0011
172.217.192.94,192.168.100.65,0x0011
108.177.123.157,192.168.100.65,0x0011
172.65.251.78,192.168.100.65,0x0011
64.233.190.94,192.168.100.65,0x0011
172.65.251.78,192.168.100.65,0x0011
64.233.190.94,192.168.100.65,0x0011
142.251.0.138,192.168.100.65,0x0011
142.251.0.207,192.168.100.65,0x0011
34.120.22.49,192.168.100.65,0x0011
172.217.192.95,192.168.100.65,0x0011
142.250.0.95,192.168.100.65,0x0011
104.18.32.137,192.168.100.65,0x0011
64.233.186.97,192.168.100.65,0x0011
104.18.4.159,192.168.100.65,0x0011
172.217.192.95,192.168.100.65,0x0011
23.51.159.115,192.168.100.65,0x0011
23.51.159.115,192.168.100.65,0x0011
23.51.159.115,192.168.100.65,0x0011
23.51.159.115,192.168.100.65,0x0011
104.16.80.73,192.168.100.65,0x0011
23.51.159.115,192.168.100.65,0x0011
104.16.80.73,192.168.100.65,0x0011
104.18.42.137,192.168.100.65,0x0011
104.18.40.188,192.168.100.65,0x0011
152.231.111.106,192.168.100.65,0x0011
152.231.111.106,192.168.100.65,0x0011
152.231.111.106,192.168.100.65,0x0011
152.231.111.106,192.168.100.65,0x0011
152.231.111.106,192.168.100.65,0x0011
152.231.111.106,192.168.100.65,0x0011
45.57.91.1,192.168.100.65,0x0011
45.57.91.1,192.168.100.65,0x0011
45.57.91.1,192.168.100.65,0x0011
45.57.91.1,192.168.100.65,0x0011
45.57.91.1,192.168.100.65,0x0011
3.230.56.88,192.168.100.65,0x0011
