IP Origen,IP Destino/Dominio,Tipo
192.168.100.65,3.211.157.115,TIPO FIN-ACK
192.168.100.65,104.18.40.188,TIPO FIN-ACK
192.168.100.65,104.16.80.73,TIPO FIN-ACK
192.168.100.65,172.65.251.78,TIPO FIN-ACK
192.168.100.65,64.233.190.94,TIPO FIN-ACK
192.168.100.65,54.160.93.182,TIPO FIN-ACK
192.168.100.65,64.233.190.105,TIPO FIN-ACK
192.168.100.65,142.251.0.138,TIPO FIN-ACK
192.168.100.65,108.177.123.157,TIPO FIN-ACK
192.168.100.65,142.250.0.94,TIPO FIN-ACK
192.168.100.65,142.251.0.207,TIPO FIN-ACK
192.168.100.65,172.217.192.95,TIPO FIN-ACK
192.168.100.65,34.120.22.49,TIPO FIN-ACK
192.168.100.65,104.18.32.137,TIPO FIN-ACK
192.168.100.65,142.250.0.95,TIPO FIN-ACK
192.168.100.65,64.233.186.155,TIPO FIN-ACK
192.168.100.65,172.64.155.119,TIPO FIN-ACK
192.168.100.65,64.233.190.94,TIPO FIN-ACK
192.168.100.65,104.18.4.159,TIPO FIN-ACK
192.168.100.65,64.233.186.97,TIPO FIN-ACK
192.168.100.65,23.14.87.57,TIPO FIN-ACK
172.217.192.94,192.168.100.65,TIPO FIN-ACK
64.233.190.103,192.168.100.65,TIPO FIN-ACK
192.168.100.65,23.51.159.115,TIPO FIN-ACK
192.168.100.65,23.51.159.115,TIPO FIN-ACK
192.168.100.65,45.57.91.1,TIPO FIN-ACK
192.168.100.65,45.57.91.1,TIPO FIN-ACK
192.168.100.65,45.57.91.1,TIPO FIN-ACK
192.168.100.65,45.57.91.1,TIPO FIN-ACK
192.168.100.65,45.57.91.1,TIPO FIN-ACK
192.168.100.65,23.51.159.115,TIPO FIN-ACK
192.168.100.65,23.51.159.115,TIPO FIN-ACK
192.168.100.65,23.51.159.115,TIPO FIN-ACK
192.168.100.65,23.51.159.115,TIPO FIN-ACK
192.168.100.65,23.51.159.115,TIPO FIN-ACK
192.168.100.65,142.251.0.119,TIPO FIN-ACK
192.168.100.65,3.230.56.88,TIPO FIN-ACK
192.168.100.65,3.230.56.88,TIPO FIN-ACK
192.168.100.65,34.195.42.24,TIPO FIN-ACK
192.168.100.65,34.195.42.24,TIPO FIN-ACK
192.168.100.65,152.231.111.106,TIPO FIN-ACK
192.168.100.65,152.231.111.106,TIPO FIN-ACK
192.168.100.65,152.231.111.106,TIPO FIN-ACK
192.168.100.65,152.231.111.106,TIPO FIN-ACK
192.168.100.65,152.231.111.106,TIPO FIN-ACK
192.168.100.65,152.231.111.106,TIPO FIN-ACK
23.14.87.57,192.168.100.65,TIPO FIN-ACK
142.250.0.94,192.168.100.65,TIPO FIN-ACK
157.240.204.35,192.168.100.65,TIPO FIN-ACK
